Pos,Game,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global,Platform
264,MXGP 2,2016,Racing,Milestone S.r.l.,0.07,0.02,0,0.01,0.1,Xbox One
265,NASCAR Heat Evolution,2016,Racing,Dusenberry Martin Racing,0.09,0,0,0.01,0.1,Xbox One
266,TrackMania Turbo,2016,Racing,Ubisoft,0.05,0.04,0,0.01,0.1,Xbox One
267,Divinity: Original Sin,2015,Role-Playing,Focus Home Interactive,0.06,0.03,0,0.01,0.1,Xbox One
268,Dead or Alive 5,2015,Fighting,Tecmo Koei,0.05,0.03,0.01,0.01,0.1,Xbox One
269,Pro Evolution Soccer 2017,2016,Sports,Konami Digital Entertainment,0.05,0.03,0,0.01,0.1,Xbox One
270,Resident Evil Zero,2016,Action-Adventure,Capcom,0.07,0.02,0,0.01,0.1,Xbox One
271,Sword Art Online: Fatal Bullet,2018,Role-Playing,Namco Bandai Games,0.09,0,0,0.01,0.1,Xbox One
272,Yooka-Laylee,2017,Platform,Sold Out,0.05,0.04,0,0.01,0.1,Xbox One
273,Real Farm,2017,Simulation,Soedesco,0.08,0,0,0.01,0.1,Xbox One
274,We Happy Few,2018,Action-Adventure,Gearbox Software,0.07,0.01,0,0.01,0.09,Xbox One
275,Duke Nukem 3D: 20th Anniversary World Tour,2016,Shooter,Gearbox Software,0.08,0,0,0.01,0.09,Xbox One
276,The Wolf Among Us,2014,Adventure,Telltale Games,0.06,0.02,0,0.01,0.09,Xbox One
277,Attack on Titan 2,2018,Action,Koei Tecmo,0.08,0,0,0.01,0.09,Xbox One
278,Rugby 15,2015,Sports,Bigben Interactive,0.03,0.05,0,0.01,0.09,Xbox One
279,MXGP 3: The Official Motocross Videogame,2017,Racing,Milestone,0.06,0.02,0,0.01,0.09,Xbox One
280,Bladestorm: Nightmare,2015,Action,Tecmo Koei,0.06,0.02,0,0.01,0.08,Xbox One
281,Monster Energy Supercross - The Official Videogame,2018,Racing,Milestone S.r.l.,0.08,0,0,0.01,0.08,Xbox One
282,America's Greatest Game Shows: Wheel of Fortune & Jeopardy!,2017,Misc,Ubisoft,0.08,0,0,0.01,0.08,Xbox One
283,Dead Island Definitive Collection,2016,Action,Deep Silver,0.05,0.03,0,0.01,0.08,Xbox One
284,Ride 2,2016,Racing,Milestone S.r.l,0.06,0.01,0,0.01,0.08,Xbox One
285,Elite: Dangerous,2017,Simulation,Frontier Developments,0.07,0,0,0.01,0.08,Xbox One
286,Just Dance: Disney Party 2,2015,Music,Ubisoft,0.06,0.01,0,0.01,0.08,Xbox One
287,Bulletstorm: Full Clip Edition,2017,Shooter,Gearbox Software,0.06,0.01,0,0.01,0.08,Xbox One
288,Micro Machines: World Series,2017,Racing,Codemasters,0.02,0.05,0,0.01,0.08,Xbox One
289,Darksiders II,2015,Action-Adventure,Nordic Games,0.05,0.03,0,0.01,0.08,Xbox One
290,Sherlock Holmes: Crimes & Punishments,2014,Adventure,Focus Home Interactive,0.03,0.04,0,0.01,0.08,Xbox One
291,Toy Soldiers: War Chest,2015,Action,Ubisoft,0.07,0,0,0.01,0.08,Xbox One
292,BlazBlue: Chrono Phantasma Extend,2015,Fighting,PQube,0.06,0.01,0,0.01,0.08,Xbox One
293,Metal Gear Survive,2018,Action,Konami Digital Entertainment,0.05,0.01,0,0.01,0.08,Xbox One
294,The Golf Club,2015,Sports,Ravenscourt,0.07,0,0,0.01,0.07,Xbox One
295,Batman: A Telltale Game Series,2016,Adventure,Telltale Games,0.06,0.01,0,0.01,0.07,Xbox One
296,Constructor HD,2017,Strategy,System 3,0.07,0,0,0.01,0.07,Xbox One
297,Teenage Mutant Ninja Turtles: Mutants in Manhattan,2016,Action,Activision,0.05,0.01,0,0.01,0.07,Xbox One
298,Valentino Rossi: The Game,2016,Racing,Namco Bandai Games,0.05,0.02,0,0.01,0.07,Xbox One
299,Disneyland Adventures,2017,Action-Adventure,Microsoft Studios,0.05,0.01,0,0.01,0.07,Xbox One
300,Dynasty Warriors 8: Empires,2014,Action,Tecmo Koei,0.04,0.02,0,0.01,0.07,Xbox One
301,Resident Evil 6,2016,Shooter,Capcom,0.06,0,0,0.01,0.07,Xbox One
302,Ghostbusters (2016),2016,Action,Activision,0.06,0,0,0.01,0.07,Xbox One
303,R.B.I. Baseball 2017,2017,Sports,MLB.com,0.06,0,0,0.01,0.07,Xbox One
304,Aven Colony,2017,Strategy,Sold Out,0.06,0,0,0.01,0.06,Xbox One
305,Adventure Time: Finn & Jake Investigations,2015,Action,Little Orbit,0.04,0.02,0,0.01,0.06,Xbox One
306,Atari Flashback Classics: Volume 1,2016,Misc,Atari,0.06,0,0,0.01,0.06,Xbox One
307,MotoGP 17,2017,Racing,Koch Media,0.04,0.02,0,0.01,0.06,Xbox One
308,Wasteland 2,2015,Role-Playing,Deep Silver,0.05,0.01,0,0.01,0.06,Xbox One
309,MX vs ATV Supercross Encore 2017 Track Edition,2017,Racing,THQ Nordic,0.05,0,0,0.01,0.06,Xbox One
310,Cartoon Network Battle Crashers,2016,Action,Maximum Games,0.05,0.01,0,0.01,0.06,Xbox One
311,Hasbro Family Fun Pack Conquest Edition,2016,Misc,Ubisoft,0.05,0,0,0.01,0.06,Xbox One
312,Sherlock Holmes: The Devil's Daughter,2016,Adventure,Bigben Interactive,0.05,0,0,0.01,0.06,Xbox One
313,MX vs. ATV Supercross Encore,2015,Sports,Nordic Games,0.05,0,0,0.01,0.06,Xbox One
314,Killing Floor 2 ,2017,Shooter,Tripwire Interactive,0.05,0,0,0.01,0.06,Xbox One
315,R.B.I. Baseball 2016,2016,Sports,MLB.com,0.05,0,0,0.01,0.06,Xbox One
316,Okami,2017,Action,Capcom,0.05,0,0,0.01,0.06,Xbox One
317,Rapala Fishing Pro Series,2017,Simulation,GameMill,0.05,0,0,0.01,0.06,Xbox One
318,Arslan: The Warriors of Legend,2016,Action,Tecmo Koei,0.05,0,0,0.01,0.06,Xbox One
319,Golf Club 2,2017,Sports,Maximum Games,0.05,0,0,0.01,0.06,Xbox One
320,Mark McMorris Infinite Air,2016,Sports,Maximum Games,0.05,0,0,0.01,0.06,Xbox One
321,Atari Flashback Classics: Volume 2,2016,Misc,Atari,0.05,0,0,0.01,0.06,Xbox One
322,Hunting Simulator,2017,Shooter,Bigben Interactive,0.05,0,0,0.01,0.06,Xbox One
323,Styx: Shards of Darknes,2017,Action,Focus Home Interactive,0.05,0,0,0.01,0.06,Xbox One
324,Marvel's Guardians of the Galaxy: The Telltale Series,2017,Adventure,Warner Bros. Interactive Entertainment,0.05,0,0,0.01,0.05,Xbox One
325,Baja: Edge of Control HD,2017,Racing,THQ Nordic,0.05,0,0,0.01,0.05,Xbox One
326,Agatha Christie's The ABC Murders,2016,Adventure,Microids,0.04,0,0,0.01,0.05,Xbox One
327,Brothers: A Tale of Two Sons,2015,Adventure,505 Games,0.04,0.01,0,0.01,0.05,Xbox One
328,The Walking Dead: A Telltale Series Collection,2017,Adventure,Warner Bros. Interactive Entertainment,0.05,0,0,0.01,0.05,Xbox One
329,Rugby 18,2017,Sports,Koch Media,0.04,0,0,0.01,0.05,Xbox One
330,Has-Been Heroes,2017,Action,GameTrust,0.04,0,0,0.01,0.05,Xbox One
331,Deformers,2017,Action,Ready at Dawn,0.04,0,0,0.01,0.05,Xbox One
332,Extinction,2018,Action,Maximum Games,0.04,0,0,0.01,0.05,Xbox One
333,Resident Evil 4 HD,2016,Action-Adventure,Capcom,0.04,0,0,0.01,0.05,Xbox One
334,The Technomancer,2016,Role-Playing,Focus Home Interactive,0.03,0.02,0,0,0.05,Xbox One
335,Cars 3: Driven to Win,2017,Racing,Warner Bros. Interactive Entertainment,0.04,0,0,0.01,0.05,Xbox One
336,Pillars of Eternity,2017,Role-Playing,Paradox Interactive ,0.04,0,0,0.01,0.05,Xbox One
337,Just Sing,2016,Music,Ubisoft,0.04,0,0,0.01,0.05,Xbox One
338,Mighty No. 9,2016,Platform,Deep Silver,0.04,0,0,0.01,0.05,Xbox One
339,Batman: The Enemy Within,2017,Adventure,Telltale Games,0.04,0,0,0.01,0.05,Xbox One
340,WRC 7,2017,Racing,Bigben Interactive,0.04,0,0,0.01,0.05,Xbox One
341,King's Quest: The Complete Collection,2016,Adventure,Activision,0.04,0,0,0.01,0.05,Xbox One
342,Marvel Pinball: Epic Collection Volume 1,2016,Puzzle,Nighthawk Interactive,0.04,0,0,0.01,0.05,Xbox One
343,Road Rage,2017,Racing,Maximum Games,0.04,0,0,0,0.04,Xbox One
344,Dragon's Dogma,2017,Role-Playing,Capcom,0.04,0,0,0,0.04,Xbox One
345,Deer Hunter Reloaded,2017,Shooter,GameMill Entertainment,0.04,0,0,0,0.04,Xbox One
346,Overcooked,2016,Action,Sold Out,0.04,0,0,0,0.04,Xbox One
347,Resident Evil 5 HD,2016,Action,Capcom,0.04,0,0,0,0.04,Xbox One
348,Darksiders: Warmastered Edition,2016,Action-Adventure,THQ Nordic,0.04,0,0,0,0.04,Xbox One
349,Valkyria: Azure Revolution,2017,Role-Playing,Deep Silver,0.04,0,0,0,0.04,Xbox One
350,Game of Thrones (Telltale),2015,Adventure,Telltale Games,0.04,0,0,0,0.04,Xbox One
351,Terraria,2014,Action,505 Games,0,0.04,0,0,0.04,Xbox One
352,Elex,2017,Role-Playing,THQ Nordic,0.04,0,0,0,0.04,Xbox One
353,Battle Chasers: Nightwar,2017,Role-Playing,THQ Nordic,0.04,0,0,0,0.04,Xbox One
354,Don't Starve,2018,Adventure,505 Games,0.04,0,0,0,0.04,Xbox One
355,Dead Rising 2,2016,Action,Capcom,0.03,0,0,0,0.04,Xbox One
356,Don Bradman Cricket 14,2015,Sports,Tru Blu Entertainment,0,0.04,0,0,0.04,Xbox One
357,Monster Jam: Crush It,2016,Racing,GameMill,0.03,0,0,0,0.04,Xbox One
358,Shadow Warrior (2013),2014,Shooter,Devolver Digital,0,0.04,0,0,0.04,Xbox One
359,Dead Alliance,2017,Shooter,Maximum Games,0.03,0,0,0,0.04,Xbox One
360,Warriors Orochi 3,2014,Action,Tecmo Koei,0.01,0.03,0,0,0.04,Xbox One
361,Dead Rising,2016,Action,Capcom,0.03,0,0,0,0.04,Xbox One
362,Sine Mora,2017,Action,THQ Nordic,0.03,0,0,0,0.04,Xbox One
363,WRC 6,2016,Racing,PQube,0.03,0,0,0,0.03,Xbox One
364,Black Mirror,2017,Adventure,THQ Nordic,0.03,0,0,0,0.03,Xbox One
365,Pure Farming 2018,2018,Simulation,Techland,0.03,0,0,0,0.03,Xbox One
366,MotoGP 15,2015,Racing,Milestone S.r.l.,0,0.03,0,0,0.03,Xbox One
367,Raid: World War II,2017,Shooter,505 Games,0.03,0,0,0,0.03,Xbox One
368,Carmageddon: Max Damage,2016,Action,Stainless Games,0.02,0.01,0,0,0.03,Xbox One
369,INSIDE / LIMBO Double Pack,2017,Platform,505 Games,0.03,0,0,0,0.03,Xbox One
370,Warhammer: The End Times - Vermintide,2016,Action,Games Workshop,0.03,0,0,0,0.03,Xbox One
371,Stardew Valley,2017,Simulation,505 Games,0.02,0,0,0,0.03,Xbox One
372,Ben 10 (2017),2017,Action,Outright Games,0.02,0,0,0,0.03,Xbox One
373,The Pillars of the Earth,2017,Adventure,Kalypso Media,0.02,0,0,0,0.03,Xbox One
374,Rime,2017,Adventure,Grey Box,0.02,0,0,0,0.03,Xbox One
375,Worms: WMD,2016,Strategy,Team17 Digital Ltd,0.02,0,0,0,0.02,Xbox One
376,Syberia III,2017,Adventure,Microids,0.02,0,0,0,0.02,Xbox One
377,Moto Racer 4,2016,Racing,PQube,0.02,0,0,0,0.02,Xbox One
378,Rugby League Live 4,2017,Sports,Tru Blu Entertainment,0,0.02,0,0,0.02,Xbox One
379,ABZU,2017,Adventure,505 Games,0.02,0,0,0,0.02,Xbox One
380,Pharaonic,2017,Action,Soedesco,0.02,0,0,0,0.02,Xbox One
381,Geometry Wars 3: Dimensions Evolved,2016,Action,Activision,0.02,0,0,0,0.02,Xbox One
382,Resident Evil: Revelations,2017,Action,Capcom,0.02,0,0,0,0.02,Xbox One
383,Broken Sword 5: The Serpent's Curse,2015,Adventure,Revolution Software,0,0.02,0,0,0.02,Xbox One
384,Rugby World Cup 2015,2015,Sports,Big Ben Interactive,0,0.02,0,0,0.02,Xbox One
385,The Crew: Wild Run,2015,Racing,Ubisoft,0,0.02,0,0,0.02,Xbox One
386,Prison Architect,2016,Simulation,Introversion Software,0.02,0,0,0,0.02,Xbox One
387,The Dwarves,2016,Role-Playing,THQ Nordic,0.02,0,0,0,0.02,Xbox One
388,Big Buck Hunter Arcade,2017,Shooter,GameMill,0.02,0,0,0,0.02,Xbox One
389,Redout,2017,Racing,505 Games,0.02,0,0,0,0.02,Xbox One
390,Troll and I,2017,Action,Maximum Games,0.02,0,0,0,0.02,Xbox One
391,Portal Knights,2017,Role-Playing,505 Games,0.02,0,0,0,0.02,Xbox One
392,Shaq-Fu: A Legend Reborn,2018,Action,Wired Productions,0.02,0,0,0,0.02,Xbox One
393,Psycho-Pass,2014,Visual Novel,5pb,0,0,0.02,0,0.02,Xbox One
394,Tropico 5,2016,Simulation,Kalypso Media,0.02,0,0,0,0.02,Xbox One
395,Back to the Future: The Game,2015,Adventure,Telltale Games,0,0.02,0,0,0.02,Xbox One
396,Saints Row: Gat out of Hell,2015,Action,Deep Silver,0,0.02,0,0,0.02,Xbox One
397,Mega Man Legacy Collection 2,2017,Action,Capcom,0.02,0,0,0,0.02,Xbox One
398,Dungeons 3,2017,Strategy,Kalypso Media,0.02,0,0,0,0.02,Xbox One
399,Blackguards 2,2017,Strategy,Kalypso Media,0.02,0,0,0,0.02,Xbox One
400,Rogue Trooper: Redux,2017,Shooter,Rebellion,0.02,0,0,0,0.02,Xbox One
401,Vikings: Wolves of Midgard,2017,Action,Kalypso Media,0.01,0,0,0,0.02,Xbox One
402,The Inner World: The Last Wind Monk,2017,Puzzle,Kalypso Media,0.01,0,0,0,0.02,Xbox One
403,Assetto Corsa,2016,Racing,505 Games,0,0.01,0,0,0.02,Xbox One
404,Le Tour de France 2017,2017,Simulation,Focus Home Interactive,0,0.01,0,0,0.02,Xbox One
405,Lock's Quest,2017,Strategy,THQ Nordic,0.01,0,0,0,0.02,Xbox One
406,WRC 5: FIA World Rally Championship,2015,Racing,Bigben Interactive,0,0.01,0,0,0.02,Xbox One
407,FlatOut 4: Total Insanity,2017,Racing,Bigben Interactive,0.01,0,0,0,0.01,Xbox One
408,Shadow Tactics: Blades of the Shogun,2017,Strategy,Kalypso Media,0.01,0,0,0,0.01,Xbox One
409,The Town of Light,2017,Adventure,THQ Nordic,0.01,0,0,0,0.01,Xbox One
410,Goat Simulator,2016,Simulation,Koch Media,0,0.01,0,0,0.01,Xbox One
411,Rugby League Live 3,2015,Sports,Tru Blu Entertainment,0,0.01,0,0,0.01,Xbox One
412,Assassin's Creed Chronicles,2016,Action,Ubisoft,0,0.01,0,0,0.01,Xbox One
413,Sébastien Loeb Rally Evo,2016,Racing,Milestone S.r.l,0,0.01,0,0,0.01,Xbox One
414,Rugby Challenge 3,2016,Sports,Alternative Software,0,0.01,0,0,0.01,Xbox One
415,Rabbids Invasion: The Interactive TV Show,2014,Misc,Ubisoft,0,0.01,0,0,0.01,Xbox One
416,ZombiU,2016,Action,Ubisoft,0,0.01,0,0,0.01,Xbox One
417,This War of Mine,2016,Action,11 bit studios,0,0.01,0,0,0.01,Xbox One
418,Battle Worlds: Kronos,2016,Strategy,Nordic Games,0.01,0,0,0,0.01,Xbox One
419,ScreamRide,2015,Simulation,Microsoft Studios,0,0.01,0,0,0.01,Xbox One
420,Torment: Tides of Numenera,2017,Role-Playing,Techland,0.01,0,0,0,0.01,Xbox One
421,Ziggurat,2016,Shooter,Soedesco,0,0.01,0,0,0.01,Xbox One
422,ATV Renegades,2017,Racing,Nighthawk Interactive,0,0,0,0,0.01,Xbox One
423,This Is The Police,2017,Simulation,THQ Nordic,0,0,0,0,0.01,Xbox One
424,Valhalla Hills,2017,Strategy,Kalypso Media,0,0,0,0,0,Xbox One
425,Handball 16,2015,Sports,Bigben Interactive,0,0,0,0,0,Xbox One
426,Shovel Knight,2015,Platform,Yacht Club Games,0,0,0,0,0,Xbox One
427,Blood Bowl 2,2015,Sports,Focus Home Interactive,0,0,0,0,0,Xbox One
428,The Peanuts Movie: Snoopy's Grand Adventure,2015,Platform,Activision,0,0,0,0,0,Xbox One
429,Farming 2017 - The Simulation,2016,Simulation,UIG Entertainment,0,0,0,0,0,Xbox One
430,Kung Fu Panda: Showdown of Legendary Legends,2015,Action,Little Orbit,0,0,0,0,0,Xbox One
431,Strider (2014),2014,Platform,Capcom,0,0,0,0,0,Xbox One
432,The Amazing Spider-Man 2,2014,Misc,Activision,0,0,0,0,0,Xbox One
433,Mega Man Legacy Collection,2016,Platform,Capcom,0,0,0,0,0,Xbox One
434,A Boy and His Blob,N/A,Platform,,0,0,0,0,0,Xbox One
435,Agatha Christie: The ABC Murders,2016,Adventure,Microids,0,0,0,0,0,Xbox One
436,Ancients of Ooga - The Forgotten Chapters,2016,Platform,Koch Media,0,0,0,0,0,Xbox One
437,Another World,N/A,Adventure,,0,0,0,0,0,Xbox One
438,Bladestorm: The Hundred Years' War,2015,Action,BioWare,0,0,0,0,0,Xbox One
439,Brothers in Arms: Furious 4,2019,Shooter,Ubisoft,0,0,0,0,0,Xbox One
440,Buzz Buzz Bang,N/A,Action,,0,0,0,0,0,Xbox One
441,Woolfe: The Red Hood Diaries,N/A,Adventure,,0,0,0,0,0,Xbox One
442,SlashDash,N/A,Action,,0,0,0,0,0,Xbox One
443,Devil May Cry 4,2015,Action,Capcom,0,0,0,0,0,Xbox One
444,#IDARB,N/A,Action,,0,0,0,0,0,Xbox One
445,Frog Toss,N/A,Misc,,0,0,0,0,0,Xbox One
446,Gran Turismo 5 Prologue Spec III,2014,Misc,Wizards of the Coast,0,0,0,0,0,Xbox One
447,Industry Giant II,2017,Strategy,UIG Entertainment,0,0,0,0,0,Xbox One
448,Killer Instinct,2020,Misc,Microsoft Game Studios,0,0,0,0,0,Xbox One
449,King's Quest I: Quest for the Crown (VGA Version),N/A,Misc,,0,0,0,0,0,Xbox One
450,LIMBO,N/A,Platform,,0,0,0,0,0,Xbox One
451,Mount & Blade: Warband,2016,Role-Playing,Koch Media,0,0,0,0,0,Xbox One
452,Neverwinter,N/A,Role-Playing,,0,0,0,0,0,Xbox One
453,Pier Solar and the Great Architects,N/A,Role-Playing,,0,0,0,0,0,Xbox One
454,Spectra 8bit Racing,N/A,Racing,,0,0,0,0,0,Xbox One
455,Nero,N/A,Puzzle,,0,0,0,0,0,Xbox One
456,Pinball FX 2,N/A,Misc,,0,0,0,0,0,Xbox One
457,Gran Turismo HD Concept,N/A,Misc,,0,0,0,0,0,Xbox One
458,Dear Esther,N/A,Adventure,,0,0,0,0,0,Xbox One
459,Lightning Returns: Final Fantasy XIII,2013,Misc,Square Enix,0,0,0,0,0,Xbox One
460,Oddworld: Abe's Oddysee New N' Tasty!,N/A,Platform,,0,0,0,0,0,Xbox One
461,Lifeless Planet,N/A,Puzzle,,0,0,0,0,0,Xbox One
462,Slender: The Arrival,2015,Adventure,Unknown,0,0,0,0,0,Xbox One
463,Lovers in a Dangerous Spacetime,N/A,Action,,0,0,0,0,0,Xbox One
464,Human Element,2015,Misc,Unknown,0,0,0,0,0,Xbox One
465,Whore of the Orient,2020,Misc,Warner Bros. Interactive Entertainment,0,0,0,0,0,Xbox One
466,Max: the Curse of Brotherhood,N/A,Action-Adventure,,0,0,0,0,0,Xbox One
467,Axiom Verge,N/A,Action,,0,0,0,0,0,Xbox One
468,Guacamelee!,N/A,Action,,0,0,0,0,0,Xbox One
469,Carmageddon: Reincarnation,2015,Misc,Stainless Games,0,0,0,0,0,Xbox One
470,The Banner Saga,N/A,Role-Playing,,0,0,0,0,0,Xbox One
471,Cobalt,N/A,Action,,0,0,0,0,0,Xbox One
472,Plague Inc.,N/A,Strategy,,0,0,0,0,0,Xbox One
473,BADLAND,N/A,Action,,0,0,0,0,0,Xbox One
474,Halo: Spartan Assault,N/A,Shooter,,0,0,0,0,0,Xbox One
475,Halo 6,2020,Shooter,Microsoft Game Studios,0,0,0,0,0,Xbox One
476,D4,N/A,Adventure,,0,0,0,0,0,Xbox One
477,Crimson Dragon,N/A,Shooter,,0,0,0,0,0,Xbox One
478,Below,N/A,Action-Adventure,,0,0,0,0,0,Xbox One
479,Peggle 2,N/A,Misc,,0,0,0,0,0,Xbox One
480,LocoCycle,N/A,Action,,0,0,0,0,0,Xbox One
481,Powerstar Golf,N/A,Sports,,0,0,0,0,0,Xbox One
482,Kingdom Hearts III,2019,Role-Playing,Square Enix,0,0,0,0,0,Xbox One
483,Black Tusk Studios Game,2020,Misc,Microsoft Game Studios,0,0,0,0,0,Xbox One
484,KickBeat,N/A,Misc,,0,0,0,0,0,Xbox One
485,Reus,2016,Strategy,Soedesco,0,0,0,0,0,Xbox One
486,Rogue Legacy,N/A,Action,,0,0,0,0,0,Xbox One
487,Defense Grid 2,N/A,Misc,,0,0,0,0,0,Xbox One
488,Hellraid,N/A,Misc,,0,0,0,0,0,Xbox One
489,There Came an Echo,N/A,Misc,,0,0,0,0,0,Xbox One
490,Strike Suit Zero,N/A,Misc,,0,0,0,0,0,Xbox One
491,Fable Legends,2019,Role-Playing,Microsoft Studios,0,0,0,0,0,Xbox One
492,WonderFlick,2014,Misc,Level 5,0,0,0,0,0,Xbox One
493,Monochroma,2014,Misc,Unknown,0,0,0,0,0,Xbox One
494,FORCED,N/A,Role-Playing,,0,0,0,0,0,Xbox One
495,Sea Animal Games for Toddlers and Kids with Jigsaw Puzzles,2013,Misc,Ubisoft,0,0,0,0,0,Xbox One
496,Unmechanical,N/A,Puzzle,,0,0,0,0,0,Xbox One
497,Divekick,N/A,Fighting,,0,0,0,0,0,Xbox One
498,Child of Light,N/A,Role-Playing,,0,0,0,0,0,Xbox One
499,Valiant Hearts: The Great War,N/A,Adventure,,0,0,0,0,0,Xbox One
500,Hyper Light Drifter,N/A,Role-Playing,,0,0,0,0,0,Xbox One
501,Legend of Raven,N/A,Misc,,0,0,0,0,0,Xbox One
502,Xbox Fitness,N/A,Misc,,0,0,0,0,0,Xbox One
503,Raven's Cry,2014,Role-Playing,TopWare Interactive,0,0,0,0,0,Xbox One
504,Shantae: Half-Genie Hero,N/A,Platform,,0,0,0,0,0,Xbox One
505,Tales from the Borderlands,2014,Adventure,Telltale Games,0,0,0,0,0,Xbox One
506,Get Even,2015,Misc,Unknown,0,0,0,0,0,Xbox One
507,Threes!,N/A,Puzzle,,0,0,0,0,0,Xbox One
508,Worms Battlegrounds,N/A,Strategy,,0,0,0,0,0,Xbox One
509,Stranger of Sword City,2016,Role-Playing,Experience Inc.,0,0,0,0,0,Xbox One
510,The Book of Unwritten Tales 2,2015,Adventure,Nordic Games,0,0,0,0,0,Xbox One
511,Puyo Puyo Tetris,2014,Puzzle,Sega,0,0,0,0,0,Xbox One
512,Razor Global Domination Pro Tour ,N/A,Misc,,0,0,0,0,0,Xbox One
513,Gone Home ,N/A,Adventure,,0,0,0,0,0,Xbox One
514,Costume Quest 2,N/A,Role-Playing,,0,0,0,0,0,Xbox One
515,Aztez,N/A,Misc,,0,0,0,0,0,Xbox One
516,Not a Hero,N/A,Misc,,0,0,0,0,0,Xbox One
517,Cult County,2015,Misc,Renegade Kid,0,0,0,0,0,Xbox One
518,Adr1ft,2016,Adventure,505 Games,0,0,0,0,0,Xbox One
519,R.B.I. Baseball 14,2014,Misc,MLB.com,0,0,0,0,0,Xbox One
520,Blue Estate ,2014,Misc,Focus Home Interactive,0,0,0,0,0,Xbox One
521,Source,N/A,Misc,,0,0,0,0,0,Xbox One
522,Chariot,N/A,Adventure,,0,0,0,0,0,Xbox One
523,Super Time Force,N/A,Misc,,0,0,0,0,0,Xbox One
524,Pure Pool ,N/A,Sports,,0,0,0,0,0,Xbox One
525,Never Alone,N/A,Misc,,0,0,0,0,0,Xbox One
526,Space Hulk: Deathwing,2015,Shooter,Focus Home Interactive,0,0,0,0,0,Xbox One
527,Red Goddess: Inner Mind,N/A,Platform,,0,0,0,0,0,Xbox One
528,Mystereet F: The Detectives' Curtain Call,2014,Misc,5pb,0,0,0,0,0,Xbox One
529,Chaos;Child,2014,Visual Novel,5pb,0,0,0,0,0,Xbox One
530,Fenix Rage,N/A,Platform,,0,0,0,0,0,Xbox One
531,FRU,N/A,Puzzle,,0,0,0,0,0,Xbox One
532,Shiness: The Lightning Kingdom,N/A,Role-Playing,,0,0,0,0,0,Xbox One
533,Ori and the Blind Forest,N/A,Platform,,0,0,0,0,0,Xbox One
534,Phantom Dust (2015),N/A,Action,,0,0,0,0,0,Xbox One
535,Scalebound,2014,Action,PlatinumGames,0,0,0,0,0,Xbox One
536,Crackdown 3,2019,Action,Microsoft Studios,0,0,0,0,0,Xbox One
537,EA Sports PGA Tour,2015,Sports,EA Sports,0,0,0,0,0,Xbox One
538,Lara Croft and the Temple of Osiris,2014,Action,Square Enix,0,0,0,0,0,Xbox One
539,Wulverblade,N/A,Action,,0,0,0,0,0,Xbox One
540,Gunscape,N/A,Action,,0,0,0,0,0,Xbox One
541,Cuphead,N/A,Action,,0,0,0,0,0,Xbox One
542,Knight Squad,N/A,Action,,0,0,0,0,0,Xbox One
543,Dead Island 2,2017,Action,Deep Silver,0,0,0,0,0,Xbox One
544,Inside,N/A,Platform,,0,0,0,0,0,Xbox One
545,Tetris Ultimate ,2014,Puzzle,Ubisoft,0,0,0,0,0,Xbox One
546,Afro Samurai 2,2015,Action,Versus Evil,0,0,0,0,0,Xbox One
547,The Legend of Korra (2014),2014,Action,Activision,0,0,0,0,0,Xbox One
548,Azito x Tatsunoko Legends,N/A,Simulation,,0,0,0,0,0,Xbox One
549,Shooting Love Trilogy,2015,Shooter,Triangle Service,0,0,0,0,0,Xbox One
550,AirMech Arena,N/A,Action,,0,0,0,0,0,Xbox One
551,The Walking Dead: Season Three,N/A,Action,,0,0,0,0,0,Xbox One
552,King of Wushu,2015,Action,Snail Game,0,0,0,0,0,Xbox One
553,Mercury ,2015,Action,Unknown,0,0,0,0,0,Xbox One
554,Pneuma: Breath of Life,N/A,Puzzle,,0,0,0,0,0,Xbox One
555,The Escapists,N/A,Action,,0,0,0,0,0,Xbox One
556,Superhot,N/A,Shooter,,0,0,0,0,0,Xbox One
557,Spectra,N/A,Racing,,0,0,0,0,0,Xbox One
558,Space Engineers,N/A,Simulation,,0,0,0,0,0,Xbox One
559,No Time to Explain,N/A,Action,,0,0,0,0,0,Xbox One
560,Funk of Titans,N/A,Platform,,0,0,0,0,0,Xbox One
561,Fruit Ninja Kinect 2,N/A,Action,,0,0,0,0,0,Xbox One
562,Blues and Bullets,N/A,Action-Adventure,,0,0,0,0,0,Xbox One
563,Game 4,N/A,Strategy,,0,0,0,0,0,Xbox One
564,Raiden V,2016,Action,Moss,0,0,0,0,0,Xbox One
565,Assassin's Creed Chronicles: China,2015,Action-Adventure,Ubisoft,0,0,0,0,0,Xbox One
566,Pathologic,2015,Adventure,Ice-pick Lodge,0,0,0,0,0,Xbox One
567,Geometry Wars 3: Dimensions,N/A,Shooter,,0,0,0,0,0,Xbox One
568,Assassin's Creed: Victory,2015,Action,Ubisoft,0,0,0,0,0,Xbox One
569,The Banner Saga 2,N/A,Role-Playing,,0,0,0,0,0,Xbox One
570,Gigantic,N/A,Action,,0,0,0,0,0,Xbox One
571,Magic Duels: Origin,N/A,Misc,,0,0,0,0,0,Xbox One
572,Shiftlings,N/A,Platform,,0,0,0,0,0,Xbox One
573,Oceanhorn: Monster of Uncharted Seas,N/A,Action,,0,0,0,0,0,Xbox One
